ticker,grade,composite_score,base_type,depth_pct,pivot_source,rs_percentile,power_rank,distance_to_pivot_pct,reward_to_risk,stop_price
DOCN,REJECT,0.0,standard_base,0.0,,,,0.0,,
ESTC,REJECT,0.0,standard_base,0.0,,,,0.0,,
FITB,B,72.6,flat_base,13.8,flat_max_spike_filtered,74.5,57.1,-8.4,2.27,53.0
FTNT,REJECT,0.0,standard_base,0.0,,,,0.0,,
GS,REJECT,0.0,standard_base,0.0,,,,0.0,,
HBAN,REJECT,0.0,standard_base,0.0,,,,0.0,,
HPE,REJECT,0.0,standard_base,0.0,,,,0.0,,
HPQ,REJECT,0.0,standard_base,0.0,,,,0.0,,
IBM,REJECT,0.0,standard_base,0.0,,,,0.0,,
KBH,REJECT,0.0,standard_base,0.0,,,,0.0,,
KEY,REJECT,0.0,standard_base,0.0,,,,0.0,,
KO,REJECT,0.0,standard_base,0.0,,,,0.0,,
LEN,REJECT,0.0,standard_base,0.0,,,,0.0,,
MCD,REJECT,0.0,standard_base,0.0,,,,0.0,,
MDB,REJECT,0.0,standard_base,0.0,,,,0.0,,
MS,REJECT,0.0,standard_base,0.0,,,,0.0,,
MTB,B,66.3,cup,16.5,cup_handle,73.2,55.5,-6.23,2.71,229.34
NET,REJECT,0.0,standard_base,0.0,,,,0.0,,
NKE,REJECT,0.0,standard_base,0.0,,,,0.0,,
NTRS,REJECT,0.0,standard_base,0.0,,,,0.0,,
NVR,REJECT,0.0,standard_base,0.0,,,,0.0,,
OKTA,REJECT,0.0,standard_base,0.0,,,,0.0,,
PANW,REJECT,0.0,standard_base,0.0,,,,0.0,,
PG,REJECT,0.0,standard_base,0.0,,,,0.0,,
PHM,B,73.3,flat_base,14.9,flat_max_spike_filtered,71.1,50.4,-3.75,2.09,137.6
PNC,B,65.5,cup,15.2,cup_handle,70.0,54.5,-7.1,2.55,228.58
ROST,A,85.1,flat_base,9.2,flat_max_spike_filtered,76.4,57.3,-1.35,3.55,197.59
RY,REJECT,0.0,standard_base,0.0,,,,0.0,,
SCHW,REJECT,0.0,standard_base,0.0,,,,0.0,,
STT,REJECT,0.0,standard_base,0.0,,,,0.0,,
T,REJECT,0.0,standard_base,0.0,,,,0.0,,
TD,B,77.3,flat_base,6.9,flat_max_spike_filtered,63.1,45.1,-2.46,4.41,96.13
TFC,REJECT,0.0,standard_base,0.0,,,,0.0,,
TGT,A+,85.0,cup,21.6,cup_handle,88.0,66.0,-4.4,2.23,113.65
TJX,REJECT,0.0,standard_base,0.0,,,,0.0,,
TOL,B,73.1,cup,21.4,cup_handle,76.5,56.3,-6.21,1.9,159.48
UNH,REJECT,0.0,standard_base,0.0,,,,0.0,,
USB,B,71.6,flat_base,13.0,flat_max_spike_filtered,70.5,53.9,-8.46,2.46,58.7
VZ,REJECT,0.0,standard_base,0.0,,,,0.0,,
WFC,REJECT,0.0,standard_base,0.0,,,,0.0,,
WMT,B,70.0,cup,18.5,cup_handle,63.9,50.2,-6.08,2.24,128.69
ZION,REJECT,0.0,standard_base,0.0,,,,0.0,,
ZS,REJECT,0.0,standard_base,0.0,,,,0.0,,
ANET,REJECT,0.0,standard_base,0.0,,,,0.0,,
APP,REJECT,0.0,standard_base,0.0,,,,0.0,,
CDNS,REJECT,0.0,standard_base,0.0,,,,0.0,,
CHKP,REJECT,0.0,standard_base,0.0,,,,0.0,,
CTSH,REJECT,0.0,standard_base,0.0,,,,0.0,,
DOCU,REJECT,0.0,standard_base,0.0,,,,0.0,,
FRSH,REJECT,0.0,standard_base,0.0,,,,0.0,,
GTLB,REJECT,0.0,standard_base,0.0,,,,0.0,,
HUBS,REJECT,0.0,standard_base,0.0,,,,0.0,,
QLYS,REJECT,0.0,standard_base,0.0,,,,0.0,,
RPD,REJECT,0.0,standard_base,0.0,,,,0.0,,
TEAM,REJECT,0.0,standard_base,0.0,,,,0.0,,
TENB,REJECT,0.0,standard_base,0.0,,,,0.0,,
VEEV,REJECT,0.0,standard_base,0.0,,,,0.0,,
WDAY,REJECT,0.0,standard_base,0.0,,,,0.0,,
ZM,REJECT,0.0,standard_base,0.0,,,,0.0,,
AMAT,REJECT,0.0,standard_base,0.0,,,,0.0,,
ASML,REJECT,0.0,standard_base,0.0,,,,0.0,,
LRCX,REJECT,0.0,standard_base,0.0,,,,0.0,,
KLAC,REJECT,0.0,standard_base,0.0,,,,0.0,,
MCHP,REJECT,46.7,flat_base,13.3,flat_max_spike_filtered,95.0,84.2,-7.38,1.67,76.55
MPWR,REJECT,0.0,standard_base,0.0,,,,0.0,,
MRVL,REJECT,0.0,standard_base,0.0,,,,0.0,,
NXPI,REJECT,0.0,standard_base,0.0,,,,0.0,,
ON,REJECT,0.0,standard_base,0.0,,,,0.0,,
QRVO,REJECT,0.0,standard_base,0.0,,,,0.0,,
SWKS,REJECT,0.0,standard_base,0.0,,,,0.0,,
TXN,REJECT,0.0,standard_base,0.0,,,,0.0,,
ADSK,REJECT,0.0,standard_base,0.0,,,,0.0,,
FROG,REJECT,0.0,standard_base,0.0,,,,0.0,,
EBAY,REJECT,0.0,standard_base,0.0,,,,0.0,,
ETSY,REJECT,0.0,standard_base,0.0,,,,0.0,,
MELI,REJECT,0.0,standard_base,0.0,,,,0.0,,
SHOP,REJECT,0.0,standard_base,0.0,,,,0.0,,
BBY,REJECT,0.0,standard_base,0.0,,,,0.0,,
DKS,REJECT,0.0,standard_base,0.0,,,,0.0,,
ULTA,C,58.1,flat_base,12.6,flat_max_spike_filtered,86.4,65.7,-5.93,2.35,684.53
ALLY,REJECT,0.0,standard_base,0.0,,,,0.0,,
BEN,A,76.1,flat_base,12.9,flat_max_spike_filtered,82.3,59.1,-4.27,2.23,27.05
CBOE,B,72.6,flat_base,12.9,flat_max_spike_filtered,56.5,41.6,-0.46,2.5,281.82
CME,REJECT,0.0,standard_base,0.0,,,,0.0,,
COIN,REJECT,0.0,standard_base,0.0,,,,0.0,,
FDS,REJECT,0.0,standard_base,0.0,,,,0.0,,
FIS,REJECT,0.0,standard_base,0.0,,,,0.0,,
FISV,REJECT,0.0,standard_base,0.0,,,,0.0,,
ICE,REJECT,0.0,standard_base,0.0,,,,0.0,,
IVZ,REJECT,0.0,standard_base,0.0,,,,0.0,,
NDAQ,REJECT,0.0,standard_base,0.0,,,,0.0,,
TROW,REJECT,0.0,standard_base,0.0,,,,0.0,,
ALNY,REJECT,0.0,standard_base,0.0,,,,0.0,,
BMRN,REJECT,0.0,standard_base,0.0,,,,0.0,,
EXAS,B,79.9,flat_base,1.8,flat_max_spike_filtered,31.6,55.6,-0.15,20.32,103.14
FOLD,A+,95.6,flat_base,0.7,flat_max_spike_filtered,94.3,83.4,-0.14,26.12,14.31
HALO,REJECT,0.0,standard_base,0.0,,,,0.0,,
ILMN,REJECT,0.0,standard_base,0.0,,,,0.0,,
MRNA,C,59.9,standard_base,32.1,flat_max_spike_filtered,99.7,99.9,-6.02,1.07,48.95
NBIX,REJECT,0.0,standard_base,0.0,,,,0.0,,
NVAX,REJECT,53.8,cup,23.1,cup_handle,93.4,79.0,-4.02,1.13,8.75
SGMO,REJECT,0.0,standard_base,0.0,,,,0.0,,
TECH,REJECT,0.0,standard_base,0.0,,,,0.0,,
XBI,B,78.5,flat_base,8.9,flat_max_spike_filtered,49.9,39.0,-2.59,2.34,124.38
CI,REJECT,0.0,standard_base,0.0,,,,0.0,,
CNC,REJECT,0.0,standard_base,0.0,,,,0.0,,
CVS,REJECT,0.0,standard_base,0.0,,,,0.0,,
HCA,REJECT,49.9,cup,16.6,cup_handle,53.7,48.8,-2.58,2.46,530.45
HUM,REJECT,0.0,standard_base,0.0,,,,0.0,,
MOH,REJECT,0.0,standard_base,0.0,,,,0.0,,
TDOC,REJECT,0.0,standard_base,0.0,,,,0.0,,
ABT,REJECT,0.0,standard_base,0.0,,,,0.0,,
ALGN,REJECT,0.0,standard_base,0.0,,,,0.0,,
BAX,REJECT,0.0,standard_base,0.0,,,,0.0,,
BDX,A,77.4,cup,16.0,cup_handle,75.8,61.3,-0.68,2.22,177.91
BSX,REJECT,0.0,standard_base,0.0,,,,0.0,,
DHR,REJECT,0.0,standard_base,0.0,,,,0.0,,
EW,REJECT,0.0,standard_base,0.0,,,,0.0,,
HOLX,REJECT,0.0,standard_base,0.0,,,,0.0,,
MDT,REJECT,0.0,standard_base,0.0,,,,0.0,,
RMD,REJECT,0.0,standard_base,0.0,,,,0.0,,
SYK,REJECT,0.0,standard_base,0.0,,,,0.0,,
ZBH,REJECT,0.0,standard_base,0.0,,,,0.0,,
CMG,REJECT,0.0,standard_base,0.0,,,,0.0,,
DRI,REJECT,0.0,standard_base,0.0,,,,0.0,,
YUM,REJECT,0.0,standard_base,0.0,,,,0.0,,
AS,B,71.3,cup,18.6,cup_handle,63.3,55.6,-5.14,1.54,39.98
CL,REJECT,0.0,standard_base,0.0,,,,0.0,,
CLX,REJECT,0.0,standard_base,0.0,,,,0.0,,
EL,REJECT,0.0,standard_base,0.0,,,,0.0,,
GIS,REJECT,0.0,standard_base,0.0,,,,0.0,,
HRL,REJECT,0.0,standard_base,0.0,,,,0.0,,
KMB,REJECT,0.0,standard_base,0.0,,,,0.0,,
MDLZ,REJECT,0.0,standard_base,0.0,,,,0.0,,
SJM,REJECT,0.0,standard_base,0.0,,,,0.0,,
STZ,REJECT,0.0,standard_base,0.0,,,,0.0,,
TAP,REJECT,0.0,standard_base,0.0,,,,0.0,,
AOS,B,69.1,cup,19.0,cup_handle,72.2,51.5,-5.67,3.08,79.21
CHRW,REJECT,52.3,standard_base,26.5,flat_max_spike_filtered,69.0,65.9,-12.14,1.38,188.61
CMI,C,56.4,cup,21.9,cup_handle,79.5,69.4,-3.24,2.41,581.72
CSX,REJECT,52.3,cup,18.2,cup_handle,75.4,54.8,-1.72,3.17,41.18
DOV,A,79.1,cup,18.4,cup_handle,82.5,66.1,-2.92,2.93,229.44
EMR,REJECT,38.6,cup,19.7,cup_handle,62.4,48.1,-7.97,1.72,148.26
ETN,REJECT,0.0,standard_base,0.0,,,,0.0,,
FAST,REJECT,0.0,standard_base,0.0,,,,0.0,,
GNRC,REJECT,0.0,standard_base,0.0,,,,0.0,,
IR,REJECT,0.0,standard_base,0.0,,,,0.0,,
ITW,B,73.6,cup,19.3,cup_handle,72.4,50.1,-3.01,2.81,292.38
JCI,REJECT,0.0,standard_base,0.0,,,,0.0,,
LMT,REJECT,0.0,standard_base,0.0,,,,0.0,,
NDSN,B,73.8,cup,21.6,cup_handle,79.1,59.0,-5.51,2.9,294.75
PH,A,77.1,flat_base,11.2,flat_max_spike_filtered,74.4,59.1,-1.0,3.0,990.47
PNR,REJECT,0.0,standard_base,0.0,,,,0.0,,
ROK,REJECT,0.0,standard_base,0.0,,,,0.0,,
SWK,A,79.7,cup,20.7,cup_handle,90.6,71.6,-5.45,1.71,87.54
TTC,A+,95.4,flat_base,13.1,flat_max_spike_filtered,93.6,72.8,-1.57,3.29,99.21
UNP,REJECT,50.5,cup,17.9,cup_handle,68.2,48.0,-1.14,3.66,260.49
WWD,REJECT,0.0,standard_base,0.0,,,,0.0,,
COP,A,75.2,cup,20.9,cup_handle,78.9,57.1,-3.29,2.47,109.2
CVX,A,77.0,cup,21.1,cup_handle,74.0,51.8,-1.9,3.53,182.57
DVN,B,73.1,cup,17.4,cup_handle,76.5,61.7,-5.1,2.08,43.93
EOG,REJECT,0.0,standard_base,0.0,,,,0.0,,
FANG,REJECT,49.7,cup,21.3,cup_handle,64.7,48.8,-1.99,2.37,169.78
HAL,C,61.7,flat_base,12.3,flat_max_spike_filtered,88.7,78.4,-1.66,2.07,34.12
MPC,REJECT,0.0,standard_base,0.0,,,,0.0,,
OXY,REJECT,0.0,standard_base,0.0,,,,0.0,,
SLB,REJECT,0.0,standard_base,0.0,,,,0.0,,
VLO,REJECT,0.0,standard_base,0.0,,,,0.0,,
APD,REJECT,0.0,standard_base,0.0,,,,0.0,,
CF,REJECT,0.0,standard_base,0.0,,,,0.0,,
DD,REJECT,0.0,standard_base,0.0,,,,0.0,,
ECL,REJECT,0.0,standard_base,0.0,,,,0.0,,
FCX,REJECT,0.0,standard_base,0.0,,,,0.0,,
LIN,REJECT,0.0,standard_base,0.0,,,,0.0,,
LYB,REJECT,0.0,standard_base,0.0,,,,0.0,,
NEM,REJECT,0.0,standard_base,0.0,,,,0.0,,
PPG,REJECT,0.0,standard_base,0.0,,,,0.0,,
SHW,REJECT,0.0,standard_base,0.0,,,,0.0,,
VMC,REJECT,0.0,standard_base,0.0,,,,0.0,,
WLK,REJECT,0.0,standard_base,0.0,,,,0.0,,
AMT,REJECT,0.0,standard_base,0.0,,,,0.0,,
AVB,REJECT,0.0,standard_base,0.0,,,,0.0,,
BXP,REJECT,0.0,standard_base,0.0,,,,0.0,,
CBRE,REJECT,0.0,standard_base,0.0,,,,0.0,,
