type,yahoo_symbol,trading212_symbol,benchmark_index,currency,sector,sub_industry,region,size,source,enabled
ticker,HEIA.AS,,^AEX,,,,Europe,Mega/Large,LargeCap,Y
ticker,NXT.L,,^FTSE,,Consumer Discretionary,,UK,Mega/Large,LargeCap,Y
ticker,ZAL.DE,,^GDAXI,,Consumer Discretionary,,Europe,Mega/Large,LargeCap,Y
ticker,CA.PA,,^FCHI,,Consumer Discretionary,,Europe,Mega/Large,LargeCap,Y
ticker,ADBE,ADBE,^GSPC,,Information Technology,Application Software,US,Mega/Large,LargeCap,Y
ticker,AMZN,AMZN,^GSPC,,Consumer Discretionary,Broadline Retail,US,Mega/Large,LargeCap,Y
ticker,AVGO,AVGO,^GSPC,,Information Technology,Semiconductors,US,Mega/Large,LargeCap,Y
ticker,AXP,AXP,^GSPC,,Financials,Consumer Finance,US,Mega/Large,LargeCap,Y
ticker,BA,BA,^GSPC,,Industrials,Aerospace & Defense,US,Mega/Large,LargeCap,Y
ticker,BKNG,BKNG,^GSPC,,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",US,Mega/Large,LargeCap,Y
ticker,CAT,CAT,^GSPC,,Industrials,Construction Machinery & Heavy Transportation Equipment,US,Mega/Large,LargeCap,Y
ticker,COST,COST,^GSPC,,Consumer Staples,Consumer Staples Merchandise Retail,US,Mega/Large,LargeCap,Y
ticker,CRM,CRM,^GSPC,,Information Technology,Application Software,US,Mega/Large,LargeCap,Y
ticker,CRWD,CRWD,^GSPC,,Information Technology,Systems Software,US,Mega/Large,LargeCap,Y
ticker,DE,DE,^GSPC,,Industrials,Agricultural & Farm Machinery,US,Mega/Large,LargeCap,Y
ticker,GE,GE,^GSPC,,Industrials,Aerospace & Defense,US,Mega/Large,LargeCap,Y
ticker,GOOG,GOOG,^GSPC,,Communication Services,Interactive Media & Services,US,Large,Dividend,Y
ticker,GOOGL,GOOGL,^GSPC,,Communication Services,Interactive Media & Services,US,Large,Dividend,Y
ticker,HD,HD,^GSPC,,Consumer Discretionary,Home Improvement Retail,US,Mega/Large,LargeCap,Y
ticker,HON,HON,^GSPC,,Industrials,Industrial Conglomerates,US,Mega/Large,LargeCap,Y
ticker,INTU,INTU,^GSPC,,Information Technology,Application Software,US,Large,Dividend,Y
ticker,ISRG,ISRG,^GSPC,,Health Care,Health Care Equipment,US,Mega/Large,LargeCap,Y
ticker,JPM,JPM,^GSPC,,Financials,Diversified Banks,US,Mega/Large,LargeCap,Y
ticker,LOW,LOW,^GSPC,,Consumer Discretionary,Home Improvement Retail,US,Large,Dividend,Y
ticker,MA,MA,^GSPC,,Financials,Transaction & Payment Processing Services,US,Large,Dividend,Y
ticker,META,META,^GSPC,,Communication Services,Interactive Media & Services,US,Large,Dividend,Y
ticker,MMM,MMM,^GSPC,,Industrials,Industrial Conglomerates,US,Large,Dividend,Y
ticker,NFLX,NFLX,^GSPC,,Communication Services,Movies & Entertainment,US,Large,Dividend,Y
ticker,NOW,NOW,^GSPC,,Information Technology,Systems Software,US,Mega/Large,LargeCap,Y
ticker,ORCL,ORCL,^GSPC,,Information Technology,Application Software,US,Large,Dividend,Y
ticker,PEP,PEP,^GSPC,,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,US,Large,Dividend,Y
ticker,PLTR,PLTR,^GSPC,,Information Technology,Application Software,US,Mega/Large,LargeCap,Y
ticker,QCOM,QCOM,^GSPC,,Information Technology,Semiconductors,US,Large,Dividend,Y
ticker,RTX,RTX,^GSPC,,Industrials,Aerospace & Defense,US,Mega/Large,LargeCap,Y
ticker,SBUX,SBUX,^GSPC,,Consumer Discretionary,Restaurants,US,Mega/Large,LargeCap,Y
ticker,SNOW,SNOW,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,TMO,TMO,^GSPC,,Health Care,Life Sciences Tools & Services,US,Mega/Large,LargeCap,Y
ticker,V,V,^GSPC,,Financials,Transaction & Payment Processing Services,US,Mega/Large,LargeCap,Y
ticker,XOM,XOM,^GSPC,,Energy,Integrated Oil & Gas,US,Large,Dividend,Y
ticker,BAC,BAC,^GSPC,,Financials,Diversified Banks,US,Large,Dividend,Y
ticker,BK,BK,^GSPC,,Financials,,US,Mega/Large,LargeCap,Y
ticker,BLK,BLK,^GSPC,,Financials,Asset Management & Custody Banks,US,Mega/Large,LargeCap,Y
ticker,BMO,BMO,^GSPC,,Financials,Banks,US,All,curated,Y
ticker,BNS,BNS,^GSPC,,Financials,Banks,US,All,curated,Y
ticker,C,C,^GSPC,,Financials,Diversified Banks,US,Large,Dividend,Y
ticker,CFG,CFG,^GSPC,,Financials,Regional Banks,US,Large,Dividend,Y
ticker,CMCSA,CMCSA,^GSPC,,Communication Services,Cable & Satellite,US,Mega/Large,LargeCap,Y
ticker,COF,COF,^GSPC,,Financials,Consumer Finance,US,Large,Dividend,Y
ticker,CSCO,CSCO,^GSPC,,Information Technology,Communications Equipment,US,Large,Dividend,Y
ticker,DDOG,DDOG,^GSPC,,Information Technology,Application Software,US,Mega/Large,LargeCap,Y
ticker,DELL,DELL,^GSPC,,Information Technology,"Technology Hardware, Storage & Peripherals",US,Large,Dividend,Y
ticker,DHI,DHI,^GSPC,,Consumer Discretionary,Homebuilding,US,Large,Dividend,Y
ticker,DIS,DIS,^GSPC,,Communication Services,Movies & Entertainment,US,Large,Dividend,Y
ticker,DOCN,DOCN,^GSPC,,Information Technology,Internet Services & Infrastructure,US,Mega/Large,LargeCap,Y
ticker,ESTC,ESTC,^GSPC,,,,US,Mega/Large,LargeCap,Y
ticker,FITB,FITB,^GSPC,,Financials,Regional Banks,US,Mega/Large,LargeCap,Y
ticker,FTNT,FTNT,^GSPC,,Information Technology,Systems Software,US,Mega/Large,LargeCap,Y
ticker,GS,GS,^GSPC,,Financials,Investment Banking & Brokerage,US,Mega/Large,LargeCap,Y
ticker,HBAN,HBAN,^GSPC,,Financials,Regional Banks,US,Mega/Large,LargeCap,Y
ticker,HPE,HPE,^GSPC,,Information Technology,"Technology Hardware, Storage & Peripherals",US,Large,Dividend,Y
ticker,HPQ,HPQ,^GSPC,,Information Technology,"Technology Hardware, Storage & Peripherals",US,Large,Dividend,Y
ticker,IBM,IBM,^GSPC,,Information Technology,IT Consulting & Other Services,US,Large,Dividend,Y
ticker,KBH,KBH,^GSPC,,Consumer Discretionary,Homebuilding,US,Large,Dividend,Y
ticker,KEY,KEY,^GSPC,,Financials,Regional Banks,US,Mega/Large,LargeCap,Y
ticker,KO,KO,^GSPC,,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,US,Large,Dividend,Y
ticker,LEN,LEN,^GSPC,,Consumer Discretionary,Homebuilding,US,Large,Dividend,Y
ticker,MCD,MCD,^GSPC,,Consumer Discretionary,Restaurants,US,Large,Dividend,Y
ticker,MDB,MDB,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,MS,MS,^GSPC,,Financials,Investment Banking & Brokerage,US,Mega/Large,LargeCap,Y
ticker,MTB,MTB,^GSPC,,Financials,Regional Banks,US,Mega/Large,LargeCap,Y
ticker,NET,NET,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
